 ----------------------------------------------------------------
  Sample output from GEO
 ----------------------------------------------------------------

n_theta =  101

 ave1:           1.285167
 avegrad_r:      1.145478
 avegrad_r2:     1.033698
 ffprime:       -0.556266
 f:              2.190605
 beta_star:      0.015606


 theta       b           dbdt        dbdt2       jb          grad_r      
 2.3876E+00  6.0584E-01 -8.3949E-01 -2.8003E-02  9.7139E-01  3.7969E-01
 2.4504E+00  5.5479E-01 -8.7681E-01 -2.8257E-02  9.5964E-01  3.9285E-01
 2.5133E+00  5.0344E-01 -9.0975E-01 -2.8513E-02  9.4829E-01  4.0199E-01
 2.5761E+00  4.5202E-01 -9.3858E-01 -2.8763E-02  9.3755E-01  4.0709E-01
 2.6389E+00  4.0072E-01 -9.6357E-01 -2.9002E-02  9.2760E-01  4.0821E-01
 2.7018E+00  3.4965E-01 -9.8498E-01 -2.9224E-02  9.1859E-01  4.0547E-01
 2.7646E+00  2.9889E-01 -1.0030E+00 -2.9424E-02  9.1060E-01  3.9904E-01
 2.8274E+00  2.4845E-01 -1.0180E+00 -2.9600E-02  9.0374E-01  3.8919E-01
 2.8903E+00  1.9833E-01 -1.0299E+00 -2.9748E-02  8.9806E-01  3.7620E-01
 2.9531E+00  1.4848E-01 -1.0391E+00 -2.9866E-02  8.9360E-01  3.6044E-01
 3.0159E+00  9.8855E-02 -1.0456E+00 -2.9951E-02  8.9039E-01  3.4230E-01
 3.0788E+00  4.9387E-02 -1.0494E+00 -3.0003E-02  8.8846E-01  3.2223E-01
 3.1416E+00  1.8422E-15 -1.0507E+00 -3.0020E-02  8.8782E-01  3.0069E-01
