 r/a           a/Lni         a/Lne         a/LTi         a/LTe         a/Lp          a*gamma_e/cs  a*gamma_p/cs
 8.400000E-01  1.922535E+00  1.922535E+00  5.254916E+00  9.691334E+00  9.094419E+00  7.780686E-02  7.988466E-01
 r/a           a/Lni         a/Lne         a/LTi         a/LTe         a/Lp          a*gamma_e/cs  a*gamma_p/cs
                                                                       
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  4.806688E-01
 1.050000E-01  5.751500E-01  5.751500E-01  1.329123E+00  2.234091E+00  2.429749E+00  3.089247E-02  1.210353E+00
 2.100000E-01  8.789933E-01  8.789933E-01  1.909382E+00  2.221233E+00  2.964579E+00  6.850550E-02  1.425461E+00
 3.150000E-01  9.100079E-01  9.100079E-01  2.021525E+00  2.270462E+00  3.070384E+00  7.721431E-02  1.100624E+00
 4.200000E-01  9.664555E-01  9.664555E-01  1.986652E+00  2.274930E+00  3.111894E+00  7.285310E-02  8.027067E-01
 5.250000E-01  8.699521E-01  8.699521E-01  1.762973E+00  2.278599E+00  2.911542E+00  5.953850E-02  5.618682E-01
 6.300000E-01  9.181754E-01  9.181754E-01  1.777322E+00  2.399572E+00  3.022476E+00  4.730465E-02  4.188653E-01
 7.350000E-01  1.118809E+00  1.118809E+00  2.245479E+00  3.290117E+00  3.890390E+00  4.797044E-02  4.357937E-01
 8.400000E-01  1.922535E+00  1.922535E+00  5.255230E+00  9.692212E+00  9.094976E+00  7.780686E-02  7.988466E-01
 r/a           a/Lni         a/Lne         a/LTi         a/LTe         a/Lp          a*gamma_e/cs  a*gamma_p/cs
                                                                       
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  4.792771E-01
 1.050000E-01  6.382261E-01  6.382261E-01  1.312583E+00  2.292660E+00  2.521225E+00  3.085042E-02  1.208705E+00
 2.100000E-01  8.566297E-01  8.566297E-01  1.892623E+00  2.221233E+00  2.934986E+00  6.851752E-02  1.425711E+00
 3.150000E-01  9.068133E-01  9.068133E-01  2.023366E+00  2.274329E+00  3.070146E+00  7.723569E-02  1.100929E+00
 4.200000E-01  9.649226E-01  9.649226E-01  1.988465E+00  2.274481E+00  3.110911E+00  7.287981E-02  8.030011E-01
 5.250000E-01  8.699521E-01  8.699521E-01  1.757992E+00  2.271189E+00  2.905250E+00  5.954804E-02  5.619583E-01
 6.300000E-01  9.182055E-01  9.182055E-01  1.777070E+00  2.399564E+00  3.022402E+00  4.730302E-02  4.188509E-01
 7.350000E-01  1.118809E+00  1.118809E+00  2.245243E+00  3.290159E+00  3.890320E+00  4.796884E-02  4.357791E-01
 8.400000E-01  1.923529E+00  1.923529E+00  5.254852E+00  9.693446E+00  9.096289E+00  7.780686E-02  7.988466E-01
 r/a           a/Lni         a/Lne         a/LTi         a/LTe         a/Lp          a*gamma_e/cs  a*gamma_p/cs
                                                                       
 0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  4.792721E-01
 1.050000E-01  7.923309E-01  7.923309E-01  1.294798E+00  2.292660E+00  2.668112E+00  3.085009E-02  1.208692E+00
 2.100000E-01  8.420637E-01  8.420637E-01  1.892623E+00  2.221233E+00  2.920416E+00  6.851680E-02  1.425696E+00
 3.150000E-01  9.065900E-01  9.065900E-01  2.023418E+00  2.274569E+00  3.070076E+00  7.723536E-02  1.100925E+00
 4.200000E-01  9.646998E-01  9.646998E-01  1.988318E+00  2.273709E+00  3.110195E+00  7.287849E-02  8.029865E-01
 5.250000E-01  8.694654E-01  8.694654E-01  1.759181E+00  2.271937E+00  2.905717E+00  5.954692E-02  5.619477E-01
 6.300000E-01  9.182599E-01  9.182599E-01  1.777070E+00  2.399542E+00  3.022453E+00  4.730304E-02  4.188510E-01
 7.350000E-01  1.118864E+00  1.118864E+00  2.245243E+00  3.290166E+00  3.890392E+00  4.796883E-02  4.357790E-01
 8.400000E-01  1.923106E+00  1.923106E+00  5.253850E+00  9.693446E+00  9.095297E+00  7.780686E-02  7.988466E-01
