 ----------------------------------------------------------------
  Sample output from GEO
 ----------------------------------------------------------------
 
n_theta =  101
 
 GEO_fluxsurfave_grad_r:   0.829000
 GEO_fluxsurfave_grad_r2:   0.783150
 GEO_volume:  18.173230
 GEO_volume_prime:  59.050503
 GEO_volume/circle_vol:   1.673862
 GEO_volume/circle_volp:   1.633715
 ffprime:  -0.130705
 f:   0.722796
 f/R0:   0.474267
 beta_star (beta_unit*dlnpdr):   0.138378
 
 
 theta       b           dbdt        dbdt2       g_theta     grad_r      
 1.4451E+00  7.1619E-01  5.7621E-01 -2.7780E-01  7.8883E-01 -1.8022E-01
 1.5080E+00  8.1877E-01  4.6323E-01 -2.4563E-01  8.6822E-01 -6.8106E-02
 1.5708E+00  9.0957E-01  3.2479E-01 -2.1834E-01  9.4765E-01  5.3847E-02
 1.6336E+00  9.7997E-01  1.6507E-01 -1.9608E-01  1.0211E+00  1.8632E-01
 1.6965E+00  1.0235E+00 -8.1762E-03 -1.7861E-01  1.0827E+00  3.3055E-01
 1.7593E+00  1.0374E+00 -1.8491E-01 -1.6536E-01  1.1282E+00  4.8790E-01
 1.8221E+00  1.0236E+00 -3.5518E-01 -1.5559E-01  1.1566E+00  6.5924E-01
 1.8850E+00  9.8720E-01 -5.1144E-01 -1.4852E-01  1.1694E+00  8.4421E-01
 1.9478E+00  9.3491E-01 -6.4959E-01 -1.4342E-01  1.1702E+00  1.0406E+00
 2.0106E+00  8.7327E-01 -7.6875E-01 -1.3968E-01  1.1633E+00  1.2443E+00
 2.0735E+00  8.0776E-01 -8.7021E-01 -1.3682E-01  1.1523E+00  1.4493E+00
 2.1363E+00  7.4258E-01 -9.5619E-01 -1.3445E-01  1.1405E+00  1.6488E+00
 2.1991E+00  6.8066E-01 -1.0288E+00 -1.3232E-01  1.1298E+00  1.8370E+00
 2.2619E+00  6.2376E-01 -1.0894E+00 -1.3028E-01  1.1212E+00  2.0108E+00
 2.3248E+00  5.7232E-01 -1.1390E+00 -1.2827E-01  1.1149E+00  2.1705E+00
 2.3876E+00  5.2543E-01 -1.1785E+00 -1.2630E-01  1.1104E+00  2.3197E+00
 2.4504E+00  4.8114E-01 -1.2095E+00 -1.2442E-01  1.1072E+00  2.4637E+00
 2.5133E+00  4.3715E-01 -1.2339E+00 -1.2269E-01  1.1045E+00  2.6075E+00
 2.5761E+00  3.9158E-01 -1.2540E+00 -1.2116E-01  1.1019E+00  2.7543E+00
 2.6389E+00  3.4357E-01 -1.2718E+00 -1.1985E-01  1.0992E+00  2.9048E+00
 2.7018E+00  2.9334E-01 -1.2886E+00 -1.1879E-01  1.0962E+00  3.0573E+00
 2.7646E+00  2.4205E-01 -1.3050E+00 -1.1796E-01  1.0931E+00  3.2085E+00
 2.8274E+00  1.9136E-01 -1.3214E+00 -1.1735E-01  1.0901E+00  3.3540E+00
 2.8903E+00  1.4297E-01 -1.3372E+00 -1.1692E-01  1.0875E+00  3.4898E+00
 2.9531E+00  9.8131E-02 -1.3515E+00 -1.1663E-01  1.0854E+00  3.6131E+00
 3.0159E+00  5.7207E-02 -1.3628E+00 -1.1645E-01  1.0840E+00  3.7225E+00
 3.0788E+00  1.9417E-02 -1.3694E+00 -1.1637E-01  1.0832E+00  3.8187E+00
 3.1416E+00 -1.7015E-02 -1.3702E+00 -1.1636E-01  1.0833E+00  3.9032E+00
 
 theta       theta_nc    (null)      (null)      (null)      (null)      
 
-3.1416E+00 -3.1416E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-3.0788E+00 -3.0797E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-3.0159E+00 -3.0174E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-2.9531E+00 -2.9545E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-2.8903E+00 -2.8909E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-2.8274E+00 -2.8264E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-2.7646E+00 -2.7612E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-2.7018E+00 -2.6953E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-2.6389E+00 -2.6288E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-2.5761E+00 -2.5616E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-2.5133E+00 -2.4937E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-2.4504E+00 -2.4249E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-2.3876E+00 -2.3547E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-2.3248E+00 -2.2828E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-2.2619E+00 -2.2086E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-2.1991E+00 -2.1315E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-2.1363E+00 -2.0511E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-2.0735E+00 -1.9673E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-2.0106E+00 -1.8800E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-1.9478E+00 -1.7897E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-1.8850E+00 -1.6970E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-1.8221E+00 -1.6030E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-1.7593E+00 -1.5088E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-1.6965E+00 -1.4157E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-1.6336E+00 -1.3250E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-1.5708E+00 -1.2378E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-1.5080E+00 -1.1548E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-1.4451E+00 -1.0766E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-1.3823E+00 -1.0034E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-1.3195E+00 -9.3505E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-1.2566E+00 -8.7133E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-1.1938E+00 -8.1175E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-1.1310E+00 -7.5576E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-1.0681E+00 -7.0281E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-1.0053E+00 -6.5236E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-9.4248E-01 -6.0398E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-8.7965E-01 -5.5728E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-8.1681E-01 -5.1198E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-7.5398E-01 -4.6786E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-6.9115E-01 -4.2477E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-6.2832E-01 -3.8257E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-5.6549E-01 -3.4117E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-5.0265E-01 -3.0047E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-4.3982E-01 -2.6036E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-3.7699E-01 -2.2073E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-3.1416E-01 -1.8149E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-2.5133E-01 -1.4252E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-1.8850E-01 -1.0374E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-1.2566E-01 -6.5056E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
-6.2832E-02 -2.6416E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.4409E-16  1.2235E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 6.2832E-02  5.0940E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 1.2566E-01  8.9741E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 1.8850E-01  1.2868E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 2.5133E-01  1.6781E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 3.1416E-01  2.0720E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 3.7699E-01  2.4691E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 4.3982E-01  2.8703E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
