psibar,psi[Wb],F[T.m],p[Pa],q,Te[eV],Ti[eV],ne[m^-3],ni[m^-3],A[m^2],V[m^3],OH[MWm^-3],Omega0[rad/s]
0.153312,1.162622E-01,2.11842E-01,2.003276E+03,1.32827,2.844197E+02,3.981876E+02,1.831702E+19,1.831702E+19,7.903203E-02,3.101311E-01,0.092524,-2.563531800000000000E+05
0.163532,1.148944E-01,2.113231E-01,1.969634E+03,1.32663,2.79959E+02,3.919426E+02,1.829634E+19,1.829634E+19,8.420221E-02,3.30207E-01,0.095602,-2.4813522E+05
0.173753,1.135267E-01,2.10801E-01,1.936129E+03,1.32522,2.755278E+02,3.857389E+02,1.827432E+19,1.827432E+19,8.936266E-02,3.502176E-01,0.098660,-2.4384559E+05
0.183974,1.121589E-01,2.102767E-01,1.902766E+03,1.32407,2.711255E+02,3.795757E+02,1.825099E+19,1.825099E+19,9.451718E-02,3.701813E-01,0.101678,-2.295210700000000000E+05
0.194195,1.107911E-01,2.097506E-01,1.869552E+03,1.32323,2.667528E+02,3.734539E+02,1.822632E+19,1.822632E+19,9.966512E-02,3.900907E-01,0.104634,-2.226673600000000000E+05
0.204416,1.094233E-01,2.09223E-01,1.836489E+03,1.32265,2.62409E+02,3.673726E+02,1.820035E+19,1.820035E+19,1.048071E-01,4.099554E-01,0.107507,-2.1326673E+05
0.214636,1.080555E-01,2.086951E-01,1.803593E+03,1.32245,2.580954E+02,3.613336E+02,1.8173E+19,1.8173E+19,1.099434E-01,4.297674E-01,0.110271,-2.0445869E+05
0.224857,1.066877E-01,2.081668E-01,1.770859E+03,1.32258,2.538107E+02,3.55335E+02,1.814436E+19,1.814436E+19,1.150785E-01,4.495514E-01,0.112905,-1.9587963E+05
0.235078,1.053199E-01,2.076386E-01,1.738294E+03,1.3231,2.495549E+02,3.493768E+02,1.81144E+19,1.81144E+19,1.202128E-01,4.693072E-01,0.115385,-1.8627174E+05
0.245299,1.039521E-01,2.071121E-01,1.705911E+03,1.32403,2.453292E+02,3.434609E+02,1.808308E+19,1.808308E+19,1.25345E-01,4.890256E-01,0.117681,-1.786727500000000000E+05
0.255519,1.025843E-01,2.065869E-01,1.673708E+03,1.32539,2.411325E+02,3.375855E+02,1.805044E+19,1.805044E+19,1.304786E-01,5.087248E-01,0.119769,-1.7138838E+05
0.265740,1.012165E-01,2.060641E-01,1.641689E+03,1.32721,2.369645E+02,3.317504E+02,1.801651E+19,1.801651E+19,1.356177E-01,5.284192E-01,0.121628,-1.6315776E+05
0.275961,9.984874E-02,2.055448E-01,1.609871E+03,1.32954,2.328271E+02,3.25958E+02,1.798119E+19,1.798119E+19,1.407583E-01,5.480894E-01,0.123223,-1.5542919E+05
0.286182,9.848095E-02,2.050292E-01,1.578245E+03,1.33238,2.287182E+02,3.202054E+02,1.794459E+19,1.794459E+19,1.459072E-01,5.677672E-01,0.124539,-1.479322500000000000E+05
0.296403,9.711316E-02,2.04518E-01,1.546818E+03,1.33575,2.24638E+02,3.144932E+02,1.790668E+19,1.790668E+19,1.51066E-01,5.874555E-01,0.125560,-1.4123326E+05
0.306623,9.574537E-02,2.040131E-01,1.515612E+03,1.33974,2.205889E+02,3.088244E+02,1.786736E+19,1.786736E+19,1.562307E-01,6.071358E-01,0.126241,-1.3528691E+05
0.316844,9.437758E-02,2.035137E-01,1.484607E+03,1.34431,2.165675E+02,3.031944E+02,1.782679E+19,1.782679E+19,1.614114E-01,6.268502E-01,0.126598,-1.2938199E+05
0.327065,9.300979E-02,2.03021E-01,1.453817E+03,1.34953,2.125751E+02,2.976051E+02,1.77849E+19,1.77849E+19,1.666056E-01,6.465901E-01,0.126595,-1.2322896E+05
0.337286,9.1642E-02,2.02537E-01,1.423261E+03,1.35543,2.086136E+02,2.92059E+02,1.774161E+19,1.774161E+19,1.718146E-01,6.663522E-01,0.126221,-1.1744999E+05
0.347506,9.027421E-02,2.020612E-01,1.392929E+03,1.36205,2.04681E+02,2.865534E+02,1.769702E+19,1.769702E+19,1.770423E-01,6.861565E-01,0.125471,-1.1235551E+05
0.357727,8.890642E-02,2.01594E-01,1.362817E+03,1.3694,2.007763E+02,2.810868E+02,1.765116E+19,1.765116E+19,1.822931E-01,7.060215E-01,0.124349,-1.075494E+05
0.367948,8.753862E-02,2.011373E-01,1.332952E+03,1.37754,1.969022E+02,2.756631E+02,1.760391E+19,1.760391E+19,1.87565E-01,7.259314E-01,0.122845,-1.0283202E+05
0.378169,8.617083E-02,2.006917E-01,1.303329E+03,1.38652,1.930578E+02,2.702809E+02,1.755531E+19,1.755531E+19,1.928623E-01,7.459057E-01,0.120957,-9.8447554E+04
0.388389,8.480304E-02,2.002566E-01,1.27394E+03,1.39632,1.892415E+02,2.649381E+02,1.750544E+19,1.750544E+19,1.981895E-01,7.659602E-01,0.118716,-9.4066224E+04
0.398610,8.343525E-02,1.998331E-01,1.244794E+03,1.40704,1.854537E+02,2.596352E+02,1.745427E+19,1.745427E+19,2.035484E-01,7.861034E-01,0.116119,-8.955191500000000000E+04
0.408831,8.206746E-02,1.994236E-01,1.215918E+03,1.41873,1.816973E+02,2.543762E+02,1.740168E+19,1.740168E+19,2.089391E-01,8.063279E-01,0.113176,-8.543417E+04
0.419052,8.069967E-02,1.990268E-01,1.187295E+03,1.43139,1.779699E+02,2.491579E+02,1.734777E+19,1.734777E+19,2.143662E-01,8.266525E-01,0.109926,-8.1703302E+04
0.429273,7.933188E-02,1.986427E-01,1.158919E+03,1.44509,1.742704E+02,2.439785E+02,1.729259E+19,1.729259E+19,2.198349E-01,8.470987E-01,0.106390,-7.7953139E+04
0.439493,7.796409E-02,1.982721E-01,1.130805E+03,1.45985,1.705998E+02,2.388397E+02,1.723609E+19,1.723609E+19,2.253455E-01,8.676636E-01,0.102602,-7.433411400000000000E+04
0.449714,7.65963E-02,1.979174E-01,1.102975E+03,1.47579,1.669605E+02,2.337447E+02,1.717816E+19,1.717816E+19,2.30901E-01,8.883543E-01,0.098575,-7.087171000000000000E+04
0.459935,7.522851E-02,1.975768E-01,1.075414E+03,1.49291,1.633501E+02,2.286902E+02,1.711891E+19,1.711891E+19,2.365053E-01,9.091858E-01,0.094352,-6.7477446E+04
0.470156,7.386071E-02,1.9725E-01,1.04811E+03,1.51124,1.597674E+02,2.236743E+02,1.705839E+19,1.705839E+19,2.421631E-01,9.301754E-01,0.089977,-6.4395555E+04
0.480376,7.249292E-02,1.969386E-01,1.021088E+03,1.53093,1.562142E+02,2.186998E+02,1.699652E+19,1.699652E+19,2.478773E-01,9.513301E-01,0.085476,-6.153248000000000000E+04
0.490597,7.112513E-02,1.966431E-01,9.943588E+02,1.55195,1.526916E+02,2.137683E+02,1.693324E+19,1.693324E+19,2.536494E-01,9.726515E-01,0.080894,-5.8783711E+04
0.500818,6.975734E-02,1.96363E-01,9.679108E+02,1.57445,1.491981E+02,2.088773E+02,1.686862E+19,1.686862E+19,2.594854E-01,9.941607E-01,0.076268,-5.6188765E+04
0.511039,6.838955E-02,1.960972E-01,9.417382E+02,1.59844,1.457326E+02,2.040257E+02,1.68027E+19,1.68027E+19,2.653891E-01,1.01587E+00,0.071635,-5.3544773E+04
0.521260,6.702176E-02,1.958456E-01,9.158452E+02,1.62399,1.422955E+02,1.992136E+02,1.673546E+19,1.673546E+19,2.713646E-01,1.037792E+00,0.067034,-5.105001E+04
0.531480,6.565397E-02,1.956112E-01,8.902736E+02,1.65126,1.388905E+02,1.944467E+02,1.666671E+19,1.666671E+19,2.774142E-01,1.059928E+00,0.062499,-4.8881559E+04
0.541701,6.428618E-02,1.953906E-01,8.649872E+02,1.68025,1.355139E+02,1.897194E+02,1.659661E+19,1.659661E+19,2.835439E-01,1.082302E+00,0.058057,-4.6768822E+04
0.551922,6.291839E-02,1.951842E-01,8.399911E+02,1.7111,1.321659E+02,1.850322E+02,1.652516E+19,1.652516E+19,2.897584E-01,1.104923E+00,0.053740,-4.4786492E+04
0.562143,6.15506E-02,1.94991E-01,8.152799E+02,1.74388,1.288457E+02,1.80384E+02,1.645236E+19,1.645236E+19,2.960626E-01,1.12781E+00,0.049570,-4.3024212E+04
0.572363,6.01828E-02,1.948126E-01,7.908943E+02,1.77869,1.255572E+02,1.7578E+02,1.637802E+19,1.637802E+19,3.024582E-01,1.15096E+00,0.045574,-4.1367078E+04
0.582584,5.881501E-02,1.946479E-01,7.668139E+02,1.81573,1.222981E+02,1.712173E+02,1.630223E+19,1.630223E+19,3.089547E-01,1.174404E+00,0.041773,-3.9682458E+04
0.592805,5.744722E-02,1.944952E-01,7.430267E+02,1.85502,1.190671E+02,1.66694E+02,1.622501E+19,1.622501E+19,3.155544E-01,1.198148E+00,0.038170,-3.80847E+04
0.603026,5.607943E-02,1.943542E-01,7.195309E+02,1.89675,1.15864E+02,1.622096E+02,1.614636E+19,1.614636E+19,3.222653E-01,1.222214E+00,0.034781,-3.675750900000000000E+04
0.613247,5.471164E-02,1.942255E-01,6.963606E+02,1.94105,1.126919E+02,1.577686E+02,1.606607E+19,1.606607E+19,3.290908E-01,1.246609E+00,0.031618,-3.5586281E+04
0.623467,5.334385E-02,1.941083E-01,6.735063E+02,1.98805,1.095498E+02,1.533697E+02,1.598413E+19,1.598413E+19,3.360364E-01,1.271347E+00,0.028679,-3.4452917E+04
0.633688,5.197606E-02,1.94002E-01,6.509609E+02,2.03803,1.06437E+02,1.490117E+02,1.590055E+19,1.590055E+19,3.431117E-01,1.296452E+00,0.025972,-3.343011E+04
0.643909,5.060827E-02,1.939043E-01,6.287003E+02,2.09104,1.033511E+02,1.446915E+02,1.581537E+19,1.581537E+19,3.5032E-01,1.321936E+00,0.023476,-3.2567582E+04
0.654130,4.924048E-02,1.938164E-01,6.067515E+02,2.1474,1.002947E+02,1.404126E+02,1.572836E+19,1.572836E+19,3.576704E-01,1.347817E+00,0.021202,-3.1698185E+04
0.664350,4.787269E-02,1.937379E-01,5.851375E+02,2.20729,9.727012E+01,1.361782E+02,1.563926E+19,1.563926E+19,3.651676E-01,1.374106E+00,0.019141,-3.0624798E+04
0.674571,4.650489E-02,1.936677E-01,5.638328E+02,2.271,9.427492E+01,1.319849E+02,1.554811E+19,1.554811E+19,3.728211E-01,1.400826E+00,0.017284,-2.9580472E+04
0.684792,4.51371E-02,1.936046E-01,5.428211E+02,2.3388,9.130773E+01,1.278308E+02,1.545486E+19,1.545486E+19,3.80639E-01,1.427999E+00,0.015612,-2.884494E+04
0.695013,4.376931E-02,1.935478E-01,5.220977E+02,2.411,8.836826E+01,1.237156E+02,1.535934E+19,1.535934E+19,3.886298E-01,1.455643E+00,0.014116,-2.8258851E+04
0.705234,4.240152E-02,1.934981E-01,5.016916E+02,2.48801,8.545966E+01,1.196435E+02,1.526105E+19,1.526105E+19,3.968015E-01,1.483771E+00,0.012788,-2.7669345E+04
0.715454,4.103373E-02,1.934545E-01,4.815996E+02,2.57018,8.25819E+01,1.156147E+02,1.515972E+19,1.515972E+19,4.051633E-01,1.512407E+00,0.011616,-2.698743E+04
0.725675,3.966594E-02,1.934161E-01,4.617958E+02,2.65803,7.97328E+01,1.116259E+02,1.505527E+19,1.505527E+19,4.137284E-01,1.54158E+00,0.010584,-2.641931800000000000E+04
0.735896,3.829815E-02,1.933823E-01,4.422732E+02,2.75203,7.691214E+01,1.07677E+02,1.494731E+19,1.494731E+19,4.225036E-01,1.5713E+00,0.009678,-2.6077551E+04
0.746117,3.693036E-02,1.933526E-01,4.230276E+02,2.8528,7.412009E+01,1.037681E+02,1.483531E+19,1.483531E+19,4.315035E-01,1.601602E+00,0.008885,-2.5599919E+04
0.756337,3.556257E-02,1.933274E-01,4.040879E+02,2.96101,7.136039E+01,9.990454E+01,1.471813E+19,1.471813E+19,4.407378E-01,1.632501E+00,0.008199,-2.5099047E+04
0.766558,3.419478E-02,1.933056E-01,3.854212E+02,3.07745,6.863022E+01,9.60823E+01,1.45956E+19,1.45956E+19,4.502228E-01,1.664031E+00,0.007606,-2.4766936E+04
0.776779,3.282698E-02,1.932869E-01,3.670098E+02,3.20307,6.592853E+01,9.229994E+01,1.446711E+19,1.446711E+19,4.599721E-01,1.696218E+00,0.007093,-2.4158436E+04
0.787000,3.145919E-02,1.932705E-01,3.488425E+02,3.33889,6.325502E+01,8.855702E+01,1.43318E+19,1.43318E+19,4.70002E-01,1.729093E+00,0.006652,-2.3492256E+04
0.797221,3.00914E-02,1.932564E-01,3.309246E+02,3.48616,6.061167E+01,8.485633E+01,1.41879E+19,1.41879E+19,4.803314E-01,1.762693E+00,0.006273,-2.2986523E+04
0.807441,2.872361E-02,1.93245E-01,3.1327E+02,3.64635,5.800133E+01,8.120186E+01,1.403329E+19,1.403329E+19,4.909762E-01,1.797041E+00,0.005951,-2.2686931E+04
0.817662,2.735582E-02,1.932354E-01,2.958384E+02,3.82122,5.54201E+01,7.758813E+01,1.38678E+19,1.38678E+19,5.019596E-01,1.832184E+00,0.005676,-2.2473343E+04
0.827883,2.598803E-02,1.93227E-01,2.786227E+02,4.01284,5.286822E+01,7.401551E+01,1.368947E+19,1.368947E+19,5.133057E-01,1.868163E+00,0.005440,-2.2220429E+04
0.838104,2.462024E-02,1.932199E-01,2.616084E+02,4.22376,5.034478E+01,7.04827E+01,1.349668E+19,1.349668E+19,5.250408E-01,1.905022E+00,0.005237,-2.1926263E+04
0.848324,2.325245E-02,1.932143E-01,2.448175E+02,4.45706,4.785378E+01,6.699529E+01,1.328501E+19,1.328501E+19,5.371914E-01,1.942803E+00,0.005062,-2.1814695E+04
0.858545,2.188466E-02,1.932097E-01,2.282449E+02,4.71652,4.539481E+01,6.355273E+01,1.305232E+19,1.305232E+19,5.497955E-01,1.981571E+00,0.004908,-2.1441133E+04
0.868766,2.051687E-02,1.932061E-01,2.11878E+02,5.00709,4.296568E+01,6.015195E+01,1.279739E+19,1.279739E+19,5.62893E-01,2.021393E+00,0.004771,-2.1159473E+04
0.878987,1.914907E-02,1.932031E-01,1.957234E+02,5.33454,4.056595E+01,5.679233E+01,1.251766E+19,1.251766E+19,5.765235E-01,2.062328E+00,0.004645,-2.0933504E+04
0.889208,1.778128E-02,1.932006E-01,1.798033E+02,5.70678,3.819608E+01,5.347451E+01,1.220996E+19,1.220996E+19,5.907458E-01,2.104477E+00,0.004525,-2.046781800000000000E+04
0.899428,1.641349E-02,1.931985E-01,1.641834E+02,6.13384,3.586072E+01,5.020501E+01,1.186789E+19,1.186789E+19,6.05616E-01,2.147916E+00,0.004406,-2.0531913E+04
0.909649,1.50457E-02,1.931975E-01,1.488922E+02,6.62931,3.355837E+01,4.698172E+01,1.149013E+19,1.149013E+19,6.212122E-01,2.192765E+00,0.004284,-1.9783486E+04
0.919870,1.367791E-02,1.931963E-01,1.339467E+02,7.21149,3.128584E+01,4.380018E+01,1.10788E+19,1.10788E+19,6.376211E-01,2.239154E+00,0.004157,-1.9075787E+04
0.930091,1.231012E-02,1.931957E-01,1.194156E+02,7.90646,2.904456E+01,4.066238E+01,1.063334E+19,1.063334E+19,6.549562E-01,2.287248E+00,0.004020,-1.9452197E+04
0.940311,1.094233E-02,1.931952E-01,1.054319E+02,8.75109,2.684462E+01,3.758247E+01,1.015291E+19,1.015291E+19,6.733606E-01,2.337262E+00,0.003859,-1.8757078E+04
0.950532,9.574537E-03,1.931951E-01,9.220515E+01,9.80207,2.470622E+01,3.458871E+01,9.6357E+18,9.6357E+18,6.930125E-01,2.389435E+00,0.003657,-1.8066174E+04
0.960753,8.206746E-03,1.931951E-01,7.97987E+01,11.1487,2.263941E+01,3.169517E+01,9.088585E+18,9.088585E+18,7.141646E-01,2.444127E+00,0.003415,-1.8505316E+04
0.970974,6.838955E-03,1.931962E-01,6.831816E+01,12.9422,2.06677E+01,2.893478E+01,8.518629E+18,8.518629E+18,7.371755E-01,2.501856E+00,0.003142,-1.8268205E+04
0.981194,5.471164E-03,1.931972E-01,5.797538E+01,15.4587,1.884547E+01,2.638366E+01,7.93333E+18,7.93333E+18,7.625599E-01,2.56339E+00,0.002870,-1.6942766E+04
0.991415,4.103373E-03,1.931982E-01,4.915284E+01,19.293,1.730482E+01,2.422675E+01,7.341863E+18,7.341863E+18,7.912447E-01,2.630268E+00,0.002692,-1.6403939E+04
